Case,Year,Cause of Tsunami,Focal Depth (kilometers),Magnitude,Country,Locationname,Latitude,Longitude,Height,Intensity,Deaths,Missing,Injuries,Damage (Million USD),Houses Destroyed,Houses Damaged
190,1988,Earthquake,36,7.6,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.258,160.896,0.09,,1,,,,100,
191,1989,Earthquake,10,8.1,AUSTRALIA,MACQUARIE ISLAND,-52.341,160.568,0.1,,,,,,,
192,1989,Earthquake,11,7.1,USA,"SEMIDI ISLANDS, AK",55.543,-156.835,0.1,,,,,,,
193,1989,Earthquake,19,6.9,USA,N. CALIFORNIA,37.036,-121.883,1,,62,,3757,5600,,
194,1989,Earthquake,10,6.5,JAPAN,N. HONSHU ISLAND,39.571,143.333,0.11,,,,,,,
195,1990,Earthquake,26,6.6,PHILIPPINES,PHILIPPINES,9.755,124.694,2.1,,,,300,0.9,,600
196,1990,Earthquake,14,6.4,JAPAN,JAPAN,34.706,139.252,0.16,,,,,,,
197,1990,Earthquake,22,7,COSTA RICA,COSTA RICA,9.919,-84.808,1,,,,10,,60,
198,1990,Earthquake,11,7.5,USA TERRITORY,"MARIANA TRENCH, N. MARIANA ISLANDS",15.125,147.596,1.8,,,,,,,
199,1990,Earthquake,10,6.5,JAPAN,"W. OF BONIN ISLANDS, IZU IS., JAPAN",33.267,138.643,0.2,,,,,,,
200,1990,Earthquake,11,5.3,ITALY,EASTERN SICILY,37.3,15.438,0.1,,19,,200,500,,
201,1990,Earthquake,10,6.3,TAIWAN,TAIWAN,23.722,121.627,0.04,,,,,,,
202,1991,Earthquake,10,6.9,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.929,159.139,0.1,,,,,,,
203,1991,Earthquake,39,5.7,RUSSIA,N. KURIL ISLANDS,48.268,154.328,0.1,,,,,,,
204,1991,Earthquake,20,6.7,USA,"BERING SEA, AK",58.427,-175.45,0.15,,,,,,,
205,1991,Earthquake,10,7.6,COSTA RICA,"LIMON, PANDORA",9.685,-83.073,3,,89,,,510,,
206,1991,Earthquake,23,7.2,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.094,158.442,0.15,-2.5,,,,,,
207,1992,Earthquake,,3.7,CHINA,SOUTH CHINA SEA,18,108,0.8,,,,,,,
208,1992,Earthquake,15,7.2,USA,"CAPE MENDOCINO, N. CALIFORNIA",40.368,-124.316,1.8,0.5,,,98,66,,
209,1992,Earthquake,33,7.3,PHILIPPINES,PHILIPPINES,7.191,126.762,6,,,,,,,
210,1992,Earthquake,29,7,JAPAN,HONSHU ISLAND,39.419,143.33,0.3,-0.5,,,,,,
211,1992,Earthquake,40,7.7,NICARAGUA,NICARAGUA,11.727,-87.386,8.2,2.8,170,,489,30,1500,
212,1992,Earthquake,28,7.8,INDONESIA,FLORES SEA,-8.48,121.896,26.2,2.7,2500,,2103,100,31785,
213,1993,Earthquake,11,6.3,JAPAN,HONSHU ISLAND,37.634,137.245,0.5,-0.5,,,,,,
214,1993,Earthquake,71,7.5,RUSSIA,KAMCHATKA,51.218,157.829,0.1,-0.5,,,,,,
215,1993,Earthquake,17,7.7,JAPAN,SEA OF JAPAN,42.851,139.197,32,3.1,231,,233,1207,2374,
216,1993,Earthquake,13,6.3,JAPAN,JAPAN,41.985,139.839,0.16,,,,,,,
217,1993,Earthquake,59,7.8,USA TERRITORY,"GUAM, MARIANA ISLANDS",12.982,144.801,2.4,,,,48,250,,
218,1993,Earthquake,34,7,RUSSIA,KAMCHATKA,51.934,158.647,0.05,-3,,,,,,
219,1994,Earthquake,20,7,INDONESIA,HALMAHERA,1.015,127.733,2,1.5,9,,300,,,550
220,1994,Earthquake,13,6.4,JAPAN,HOKKAIDO ISLAND,40.608,143.683,0.11,-1.5,,,,,,
221,1994,Earthquake,18,7.8,INDONESIA,SOUTH OF JAVA,-10.477,112.835,13.9,2.5,238,,423,2.2,1500,
222,1994,Earthquake,26,6.6,INDONESIA,SOUTH OF JAVA,-10.362,112.892,3.7,,,,,,,
223,1994,Earthquake,17,6.1,INDONESIA,SOUTH OF JAVA,-10.341,113.369,3,,,,,,,
